WEIGHT: 55546.3075276, 55714.4798169 
THETA: 2

Ground Function:
TF
+1
+10 +10

Arguments: threshold winnow ground_file.txt sphere 5000 2500 0.2

Training Updates: 225
([1.877144218775806, 0.7485657896430158, 2], [0.9085394949848816, -0.417798978041613, 1])
([3.2741644796440417, 1.1318915209333509, 2], [0.8025873033105029, 0.5965346767496208, 1])
([2.2838310133015947, 2.0464199393359324, 2], [-0.5196708924681438, 0.8543665276222863, 1])
([1.69137597876593, 3.822116944676193, 2], [-0.4332585113610718, 0.9012696945605061, 1])
([3.2089450130316615, 2.93170907694466, 2], [0.92390167402354, -0.3826299736514382, 1])
([5.674238642022035, 1.9761984609274992, 2], [0.8223277589681335, -0.5690141095178985, 1])
([5.444600360051343, 3.9475297469360022, 2], [-0.05960067011007402, 0.9982222999524855, 1])
([3.8770796225998327, 7.223778286432259, 2], [-0.4898557936926772, 0.8718034763556046, 1])
([6.707202571818499, 4.725943934494223, 2], [0.790740811521883, -0.612151099806015, 1])
([4.978203956564086, 8.835982211991483, 2], [-0.43008583656235616, 0.9027880001353907, 1])
([8.26501270963737, 5.507634814308299, 2], [-0.7313916994288882, 0.6819576101243557, 0])
([5.547834306847247, 9.71033729803021, 2], [-0.5750923376673976, 0.8180885056986487, 1])
([9.103387250842392, 5.978834478680622, 2], [-0.7144787527075676, 0.6996571388397594, 0])
([6.3256156711890235, 10.784180234831211, 2], [-0.5251975491590397, 0.8509803372330867, 1])
([11.969599107592973, 8.220089407426372, 2], [0.9200970245162454, -0.3916905225766276, 1])
([7.106734026090915, 12.979694995164193, 2], [0.7521162218839509, -0.6590304915396643, 0])
([12.943818366022539, 9.16681618535835, 2], [0.8650046567519757, -0.5017638326916326, 1])
([8.5154406818585, 15.926104842916352, 2], [-0.6041101706827455, 0.796900810438579, 1])
([15.582475084940338, 11.340469902200967, 2], [0.8717713082644984, -0.4899130393108606, 1])
([9.791572644409587, 18.967899116540476, 2], [0.6703119082650573, -0.7420794739366245, 0])
([18.46878958902469, 14.351377115048974, 2], [0.915476820063788, -0.4023707145480329, 1])
([11.927987357683692, 24.57488191937853, 2], [-0.6307386841606499, 0.7759953043049241, 1])
([22.123463774699324, 17.945551463157415, 2], [0.89122664611607, -0.4535582269705853, 1])
([13.250784181343894, 28.615232342750062, 2], [0.7394995388696002, -0.673157063404707, 0])
([24.52279224484763, 20.806405943425656, 2], [0.888045517441212, -0.4597555426012505, 1])
([15.067358280802338, 34.07036123000667, 2], [0.7026967630435975, -0.711489465282551, 0])
([25.4932493549899, 21.690510213342662, 2], [0.758688774879806, -0.6514532545558269, 1])
([15.524939949558075, 35.20178220099702, 2], [0.7155275820507397, -0.6985844825965016, 0])
([28.807061319041708, 25.727071542040605, 2], [0.891834806930804, -0.45236122418560115, 1])
([18.457913904993635, 43.7668521580039, 2], [-0.6421829848018961, 0.7665513772937387, 1])
([29.997019528865547, 26.68935457034866, 2], [-0.7005796529932086, 0.7135742076420053, 0])
([19.154844418771756, 45.27332252661105, 2], [-0.6471098554167988, 0.762396770076087, 1])
([32.64574231467093, 29.072107787686125, 2], [-0.7691855387129556, 0.6390255136024385, 0])
([19.699344158644514, 46.732248366786656, 2], [0.7287472470451272, -0.6847827757209936, 0])
([34.87730740322823, 31.55861430046274, 2], [0.8241410660298278, -0.5663845895530872, 1])
([21.253720135048592, 51.2515080242396, 2], [0.7145732807070843, -0.6995605953021616, 0])
([38.6848161809752, 36.154919128411585, 2], [0.8640520337858147, -0.5034025058644398, 1])
([23.195874009187047, 57.72126317450868, 2], [0.7378992113408418, -0.6749109229391412, 0])
([40.47936365660842, 38.199482410654255, 2], [0.8033184035112377, -0.5955497817816376, 1])
([24.333189114155477, 61.152867789711046, 2], [0.7342611981078401, -0.6788670657450098, 0])
([38.89473822609459, 36.70852030039428, 2], [-0.6766495844917534, 0.7363051947440937, 0])
([23.39860140714271, 58.814791083173795, 2], [0.7331526982513069, -0.6800640565761642, 0])
([44.11427973824055, 44.45436153598502, 2], [-0.914823431098436, 0.4038540453100413, 0])
([26.483891126514788, 71.06624479370106, 2], [0.7361306253558981, -0.6768394953112107, 0])
([45.877714816272864, 46.57399000346354, 2], [0.7926784273977271, -0.6096399845304328, 1])
([72.57684447323068, 27.697768016955887, 2], [-0.6617158000355723, 0.7497547598937151, 0])
([50.21222750383782, 49.82419372824515, 2], [0.5314706051282754, -0.8470767355349719, 0])
([80.05652086656235, 29.838726341558633, 2], [-0.6729801928303444, 0.7396605032432328, 0])
([51.53889349760841, 50.96137518042268, 2], [0.6353573558556886, -0.7722182530606667, 0])
([82.73241505041062, 30.71174706961391, 2], [-0.6827911327045095, 0.7306136250441083, 0])
([56.42776437360469, 54.740296322505195, 2], [-0.5520475044246216, 0.8338126605290589, 1])
([34.36735464260938, 88.84883107399314, 2], [0.7153663847409588, -0.6987495514006792, 0])
([58.079720120387044, 56.4875500816954, 2], [-0.7569956937055378, 0.6534198647969557, 0])
([34.48311764941851, 89.19305588423596, 2], [0.7521442854969327, -0.6589984626646019, 0])
([60.653600444652234, 59.671954841721984, 2], [0.8147030717126033, -0.5798783535725824, 1])
([36.87183188882716, 96.66674083287243, 2], [0.7180741923148372, -0.6959665612164095, 0])
([58.960841820473505, 58.04837206469904, 2], [-0.6772380277643358, 0.7357639932409527, 0])
([35.60019620216584, 93.37062279052448, 2], [0.7278719305407744, -0.6857130979723562, 0])
([65.96274034602062, 68.04796407026772, 2], [-0.8897661428327254, 0.4564167077009498, 0])
([104.14832990949928, 40.39945630739645, 2], [-0.6589164647155983, 0.7522161208899326, 0])
([73.81407179283218, 73.73114897284972, 2], [-0.4966719243319822, 0.867938361625044, 1])
([116.37084220221585, 43.71644783440183, 2], [-0.6567618422332898, 0.754098058999183, 0])
([74.0357976956071, 73.92288791510894, 2], [-0.6524347082116845, 0.7578449389688726, 1])
([118.21036796883024, 44.329276232408205, 2], [-0.6750616620017692, 0.7377613113300324, 0])
([70.49356170010344, 70.34448741190907, 2], [0.7457931718552981, -0.6661775625266988, 0])
([113.19117382904656, 42.40411433614561, 2], [-0.6831980624857552, 0.7302331185420928, 0])
([72.14606833110487, 71.81753639467777, 2], [0.6497687863458941, -0.7601319124274312, 0])
([43.054212740696414, 114.05529069911276, 2], [0.7447663673966995, -0.6673253014795142, 0])
([68.17137095648268, 67.88309449711186, 2], [-0.6630115881536738, 0.7486091329752417, 0])
([107.6817906703566, 40.316760196110415, 2], [-0.6595364045520259, 0.7516726222702182, 0])
([65.85851956534492, 65.71642169846115, 2], [0.709332319189432, -0.7048742164055527, 0])
([39.81069562719232, 105.83336622228342, 2], [0.7262140015339718, -0.6874687076340393, 0])
([72.53008802044383, 74.78150913681469, 2], [-0.8654235193217755, 0.5010410484228937, 0])
([43.09575342011658, 118.18255993242744, 2], [0.7510338840404676, -0.6602636632611927, 0])
([75.95815480589695, 79.2956988695255, 2], [-0.8176591439302492, 0.5757026353485384, 0])
([120.91483871942731, 47.42103102043995, 2], [-0.6707145388642499, 0.7417155838703382, 0])
([88.68159903884522, 88.14744225796726, 2], [0.44728461446142215, -0.8943916779946564, 0])
([53.82278683476067, 142.55622699787912, 2], [0.7204176912785504, -0.6935404458954669, 0])
([93.0688677224256, 93.20823486151377, 2], [0.790081562762973, -0.6130017326093118, 1])
([55.260538118287016, 147.18559435558953, 2], [0.7520490445464924, -0.659107149556662, 0])
([101.07272893288155, 104.71597962464512, 2], [-0.8710722710806552, 0.4911548620897378, 0])
([60.774052069053994, 167.68753464587226, 2], [0.7338663962216144, -0.6792938336954786, 0])
([111.44375035509695, 119.85334247686599, 2], [0.8747883231654743, -0.4845053040507788, 1])
([175.61780225805967, 71.03571730797181, 2], [-0.6561233832188595, 0.7546536331280977, 0])
([134.33664876931326, 134.6178582316057, 2], [0.3865861530430196, -0.9222532983271998, 0])
([214.56361947033312, 80.75133147793512, 2], [-0.6755525350948237, 0.7373118555448277, 0])
([165.6742972944786, 153.62009106279638, 2], [0.37305567910650983, -0.9278089567827963, 0])
([262.97556182309705, 91.63257448463611, 2], [-0.6665789366220346, 0.7454344513448768, 0])
([185.23045943030357, 166.6355414347393, 2], [-0.5056073809570459, 0.8627636850967689, 1])
([292.21160574576, 98.85660717424953, 2], [-0.6576921227679486, 0.7532868455302996, 0])
([180.00371631999533, 162.2866000289858, 2], [0.698986786236907, -0.715134583603814, 0])
([108.3927157856317, 260.28776118689825, 2], [0.7317588845869143, -0.6815635955859989, 0])
([197.6149768252666, 184.1395261476282, 2], [-0.8664244820391421, 0.4993081382505239, 0])
([121.53640982989819, 301.81446551276343, 2], [0.7013037093051963, -0.7128626146143259, 0])
([215.35738860435413, 204.06547066621707, 2], [0.8253442406378885, -0.5646298649964125, 1])
([130.73728729367508, 330.1088144456915, 2], [0.7200621535391979, -0.6939095726681487, 0])
([240.87966148506914, 238.01008029581772, 2], [-0.8816419180213629, 0.47191898498324086, 0])
([143.93362142000458, 378.5319694302925, 2], [0.7429089554852902, -0.669392473710121, 0])
([236.9457052831599, 233.84673273359908, 2], [-0.7191528816659114, 0.6948518783104899, 0])
([381.1173936859297, 141.19207990434074, 2], [-0.6856789404188961, 0.727904108153004, 0])
([259.0005953022746, 251.051574686345, 2], [-0.5572800384252639, 0.8303246104823921, 1])
([157.14671718611706, 405.8880504645192, 2], [0.7208432795132044, -0.6930980928993012, 0])
([290.0464418084612, 293.6138362338617, 2], [0.8841717865601308, -0.4671619118154503, 1])
([461.8553857499388, 175.63799405706567, 2], [-0.6711572707003122, 0.7413149924196244, 0])
([306.2376105750443, 306.9411870165222, 2], [-0.5927897133142483, 0.8053572845568676, 1])
([186.2225591575663, 497.3954763775393, 2], [0.7176236255491413, -0.6964311394916985, 0])
([348.1668560986009, 369.15582713782777, 2], [-0.902751018743361, 0.43016345516306265, 0])
([208.50322146207475, 588.5465804512357, 2], [0.7397091974337964, -0.672926670025679, 0])
([369.33845726423283, 397.74387414975314, 2], [-0.8248738165005373, 0.565316890647925, 0])
([587.0580711399441, 237.5417764879239, 2], [-0.6685597296187106, 0.7436584484372893, 0])
([364.9343933773623, 393.37602343979444, 2], [0.6858660955442644, -0.7277277643342089, 0])
([597.358575864328, 241.60941090361234, 2], [-0.7109600720330043, 0.7032323769386798, 0])
([426.3474370234309, 442.69699292044396, 2], [0.48656761276997623, -0.8736429237413456, 0])
([692.4344929317698, 269.78906613564936, 2], [-0.6996480089826201, 0.7144876930547197, 0])
([525.6071124088908, 509.59478482385435, 2], [-0.3976927948560769, 0.9175186324645197, 1])
