WEIGHT: 1010947.76272, 962128.873604 
THETA: 2

Ground Function:
TF
+1
+10 +10

Arguments: relu winnow ground_file.txt sphere 5000 2500 0.2

Training Updates: 278
([1.5751000174424046, 1.6879173484510221, 2], [0.6554434413660597, 0.755244261924721, 1])
([1.1120520866897914, 3.073717730898826, 2], [-0.5022190782604021, 0.8647404219945266, 1])
([2.2213966128394076, 2.9500217083240745, 2], [0.9982426345939132, -0.05925911304603797, 1])
([4.224608472893832, 2.27604970058367, 2], [0.9273506441950534, -0.3741935097125809, 1])
([2.900237122611203, 4.074132932682769, 2], [-0.5426467824716346, 0.8399609928283471, 1])
([5.665634759970446, 3.40628814909888, 2], [0.966066740711041, -0.25829257149973633, 1])
([3.7536487954992084, 5.949246360446271, 2], [-0.593943927241299, 0.8045064395597978, 1])
([6.971982556567573, 4.356582604670781, 2], [0.893275287049217, -0.4495100238561303, 1])
([4.2290124676720815, 7.041455498799654, 2], [0.7212481463186319, -0.6926767726955606, 0])
([8.072203619625368, 5.4833968918243805, 2], [0.9326417529565689, -0.36080377027145705, 1])
([5.619343342090789, 9.90166947803355, 2], [-0.5225610148631387, 0.8526018917086723, 1])
([9.510840751825238, 6.306243799016722, 2], [0.7591713282624044, -0.6508908467203212, 1])
([6.665818296443594, 11.434286897204471, 2], [-0.5127908884224665, 0.8585135437201311, 1])
([12.010283711248192, 7.931376013933608, 2], [0.8494163346387005, -0.5277233086087398, 1])
([7.248530070023295, 12.751601023592631, 2], [0.728509865646818, -0.6850353097872074, 0])
([13.415379348111207, 9.272827437009994, 2], [0.888127484755413, -0.4595971832181128, 1])
([9.131190027817453, 16.505225516673402, 2], [-0.55501305274494, 0.8318416383439474, 1])
([16.850925085234607, 11.936228697458663, 2], [0.8839529972515212, -0.4675757678174226, 1])
([11.78070034849851, 21.609910287384608, 2], [-0.5164024867164653, 0.8563459999982781, 1])
([21.308552290063467, 15.084606602618432, 2], [0.8550072710755583, -0.5186160105588014, 1])
([13.211506809879738, 24.91875132378772, 2], [0.6896375598460386, -0.7241547045000823, 0])
([22.34989063646403, 15.861475964020341, 2], [0.7584727525263876, -0.6517047519199513, 1])
