('Training size:', 5000, 'Testing size:', 1000)
(1, 238814.70624999999, 237319.76874999999, 0.79320002, 0.77100003)
(2, 103556.65468750001, 104211.43593750001, 0.85299999, 0.82099998)
(3, 70355.106249999997, 71967.71875, 0.88279998, 0.86000001)
(4, 51105.151562500003, 52697.255468750001, 0.90880001, 0.88499999)
(5, 40802.758593749997, 40334.278124999997, 0.92079997, 0.90200001)
(6, 29100.080468749999, 29855.696875000001, 0.93519998, 0.926)
(7, 28110.147656249999, 29000.375, 0.92500001, 0.91600001)
(8, 20769.423828125, 21593.817773437499, 0.949, 0.935)
(9, 20270.5625, 19623.830273437499, 0.95779997, 0.94400001)
(10, 13878.7291015625, 14598.279296875, 0.96100003, 0.94499999)
(11, 17971.516015624999, 18311.375, 0.96600002, 0.954)
(12, 11065.937304687501, 12385.205859375001, 0.93900001, 0.93699998)
(13, 11187.6048828125, 11760.358105468749, 0.96719998, 0.95999998)
(14, 10714.3931640625, 12024.2310546875, 0.93720001, 0.93199998)
(15, 7773.8905273437504, 8175.9955078125004, 0.97820002, 0.96899998)
(16, 6088.3934570312504, 6328.4381835937502, 0.97060001, 0.963)
(17, 10019.7046875, 9616.2297851562507, 0.93959999, 0.94099998)
(18, 6017.4578613281246, 6506.4940429687504, 0.97180003, 0.96499997)
(19, 6181.04443359375, 6247.1595214843746, 0.97860003, 0.96600002)
(20, 3521.5845214843748, 3882.4388671874999, 0.98580003, 0.96799999)
(21, 4312.290283203125, 4477.2391601562504, 0.9874, 0.97299999)
(22, 2491.4095703124999, 2642.0043457031252, 0.98540002, 0.96600002)
(23, 8286.7181152343746, 8297.422119140625, 0.96439999, 0.958)
(24, 1869.2291748046875, 2055.7812377929686, 0.9914, 0.97100002)
(25, 3480.8601562499998, 3524.2791748046875, 0.98519999, 0.96700001)
(26, 11806.556396484375, 13502.466845703126, 0.97259998, 0.96600002)
(27, 4323.1060791015625, 3464.5920654296874, 0.96319997, 0.95700002)
(28, 1721.6484130859376, 1913.518994140625, 0.97680002, 0.96600002)
(29, 1304.27802734375, 1514.1843872070312, 0.99479997, 0.97299999)
(30, 2276.7789550781249, 2577.2310546875001, 0.9738, 0.96100003)
(31, 6019.3315917968748, 6586.8440917968746, 0.98119998, 0.972)
(32, 1629.3380859375, 1342.6124145507813, 0.98860002, 0.97100002)
(33, 974.87998046874998, 845.75778808593748, 0.99720001, 0.97299999)
(34, 422.39499816894534, 549.41060180664067, 0.9964, 0.972)
(35, 1253.4178161621094, 1892.374267578125, 0.98220003, 0.972)
(36, 3296.8585388183592, 2900.6674896240233, 0.99260002, 0.97500002)
(37, 982.91961059570315, 1144.6559829711914, 0.98580003, 0.97299999)
(38, 1546.4033386230469, 1778.4264282226563, 0.98559999, 0.972)
(39, 1082.7482727050781, 760.28441543579106, 0.97820002, 0.96700001)
(40, 1116.5705810546874, 1470.2772308349608, 0.99860001, 0.97799999)
(41, 7662.4067886352541, 6795.6247619628903, 0.98479998, 0.97600001)
(42, 501.88534851074218, 672.32839965820312, 0.99540001, 0.97899997)
(43, 1132.5378570556641, 1174.1349786758424, 0.99959999, 0.97899997)
(44, 178.99565124511719, 231.25299568176268, 0.99940002, 0.97799999)
(45, 4825.6331787109375, 4983.2109863281248, 0.95639998, 0.94800001)
(46, 173.20089988708497, 221.23979277610778, 0.99919999, 0.97799999)
(47, 334.03691253662112, 243.5570037841797, 0.98820001, 0.97600001)
(48, 80.978700256347651, 200.80299835205079, 0.99760002, 0.97600001)
(49, 752.35295000076292, 988.23022308349607, 0.99599999, 0.97500002)
(50, 130.86780109405518, 168.81499938964845, 0.9964, 0.977)
