('Training size:', 5000, 'Testing size:', 1000)
(1, 76453.87890625, 78957.040624999994, 0.75739998, 0.74000001)
(2, 20896.182421875001, 21091.140429687501, 0.83459997, 0.82300001)
(3, 9149.0968749999993, 9239.67529296875, 0.8818, 0.84899998)
(4, 4922.9505859375004, 5087.3333007812498, 0.91000003, 0.86799997)
(5, 2979.8094238281251, 3056.5426757812502, 0.93019998, 0.86500001)
(6, 1833.0067382812499, 1945.9752441406249, 0.94419998, 0.86699998)
(7, 1171.24150390625, 1281.9931884765624, 0.96439999, 0.87800002)
(8, 762.4799682617188, 833.44622802734375, 0.97000003, 0.87800002)
(9, 514.08107910156252, 546.80532226562502, 0.97579998, 0.87599999)
(10, 331.39777221679685, 353.29429321289064, 0.98580003, 0.88300002)
(11, 214.67282714843751, 231.20718383789062, 0.98559999, 0.88700002)
(12, 146.7763641357422, 170.29280700683594, 0.98879999, 0.889)
(13, 80.688984680175778, 87.575087738037112, 0.99379998, 0.88300002)
(14, 54.993743896484375, 57.009181594848634, 0.99119997, 0.88599998)
(15, 27.960162925720216, 33.699842262268064, 0.99620003, 0.88300002)
(16, 20.240514755249023, 20.51413048505783, 0.98699999, 0.87900001)
(17, 13.192297267913819, 14.769499433040618, 0.99720001, 0.88099998)
(18, 12.179637718200684, 13.875210547447205, 0.99959999, 0.88800001)
(19, 14.030041360855103, 17.571517473459245, 0.99800003, 0.88800001)
(20, 8.3919929504394535, 9.7564408540725704, 0.99940002, 0.88599998)
(21, 9.1600981891155246, 14.82350263595581, 0.99879998, 0.88700002)
(22, 12.421986198425293, 7.6800034865736961, 0.99180001, 0.88099998)
(23, 7.5742148876190187, 7.2902844321681188, 0.99860001, 0.88499999)
(24, 11.822132301330566, 15.060517549514771, 0.995, 0.88999999)
(25, 6.6210098743438719, 10.510005044937134, 0.99860001, 0.89300001)
(26, 9.406400275230407, 12.307217884063721, 0.99860001, 0.889)
(27, 13.154715824127198, 12.588395118713379, 0.99000001, 0.88700002)
(28, 3.6757139325141908, 5.7620955467224118, 0.99720001, 0.89899999)
(29, 3.9387030839920043, 2.3943609714508058, 0.99900001, 0.89499998)
(30, 2.1722871273756028, 4.4649691581726074, 0.99879998, 0.90200001)
(31, 6.9035240054130558, 12.74873685836792, 0.99699998, 0.90200001)
(32, 16.142424026131629, 16.9813081741333, 0.99980003, 0.90600002)
(33, 6.2296292055398226, 13.317029190063476, 0.99919999, 0.91299999)
(34, 5.0629410982131962, 12.121665120124817, 0.99879998, 0.90700001)
(35, 0.63834941536188128, 6.182474899291992, 0.99959999, 0.91500002)
(36, 10.733021545410157, 17.972090530395509, 0.99940002, 0.91399997)
(37, 12.597264599800109, 11.904096168279647, 0.99739999, 0.91799998)
(38, 48.619202780723569, 49.641901631280781, 0.99199998, 0.90899998)
(39, 1.8319875165820121, 8.8504551649093628, 0.99919999, 0.92900002)
(40, 9.5759673595428474, 14.492262709140778, 0.99940002, 0.926)
(41, 3.7763911724090575, 9.4670928359031681, 0.99879998, 0.921)
(42, 5.4000898182392119, 10.223491978645324, 0.99900001, 0.92699999)
(43, 5.361362791061401, 8.6391198158264153, 0.99800003, 0.926)
(44, 5.7996218025684358, 19.790327072143555, 0.99860001, 0.92799997)
(45, 4.6223793268203739, 7.4930274009704592, 0.99959999, 0.93099999)
(46, 1.808152400702238, 0.0, 1.0, 0.93800002)
